payment_id,customer_id,merchant_id,amount,currency,payment_method,bank,timestamp,hour_of_day,day_of_week,attempt_number,previous_failures,customer_age_days,customer_success_rate,payment_success_rate,device_type,failure_code,failure_class,checkout_duration,cart_value,is_subscription,customer_opted_out,historical_recovery_rate,bank_failure_rate,recovered,ground_truth_probability,recovery_intervention,recovery_time
pay_100000,cust_1272,merch_razorpay_buildathon,40132.85,INR,card,SBI,2026-01-01T00:02:00,0,3,2,0,1,0.9174,0.8685,mobile_android,BANK_SERVER_DOWN,TEMPORARY_BANK_FAILURE,26,43213.53,0,0,0.4935,0.1256,1,0.7404,RETRY_LATER,76
pay_100001,cust_3987,merch_razorpay_buildathon,2057.97,INR,wallet,HDFC,2026-01-01T00:28:00,0,3,1,0,74,0.856,0.6366,mobile_android,METHOD_NOT_SUPPORTED,PAYMENT_METHOD_FAILURE,24,2250.24,1,0,0.597,0.0268,1,0.8568,ALTERNATIVE_PAYMENT_METHOD,77
pay_100002,cust_2031,merch_razorpay_buildathon,1024.49,INR,card,SBI,2026-01-01T00:37:00,0,3,2,0,25,0.9616,0.8536,desktop,NETWORK_ERROR,TEMPORARY_BANK_FAILURE,25,1146.93,0,0,0.6268,0.199,1,0.8866,RETRY_LATER,387
pay_100003,cust_1207,merch_razorpay_buildathon,494.14,INR,netbanking,AXIS,2026-01-01T00:55:00,0,3,2,0,254,0.8573,0.7558,mobile_android,METHOD_NOT_SUPPORTED,PAYMENT_METHOD_FAILURE,86,507.06,0,0,0.2006,0.0515,1,0.8572,ALTERNATIVE_PAYMENT_METHOD,23
pay_100004,cust_2937,merch_razorpay_buildathon,1216.28,INR,card,ICICI,2026-01-01T00:55:00,0,3,1,1,626,0.8612,0.8577,mobile_web,BAD_REQUEST_GATEWAY_TIMEOUT,TEMPORARY_BANK_FAILURE,37,1402.12,0,0,0.4544,0.0621,1,0.8514,RETRY_LATER,11
pay_100005,cust_2660,merch_razorpay_buildathon,2550.08,INR,card,HDFC,2026-01-01T01:00:00,1,3,1,1,16,0.944,0.6622,mobile_web,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,45,2897.18,0,0,0.4225,0.0323,1,0.3888,RETRY_LATER,123
pay_100006,cust_2146,merch_razorpay_buildathon,1593.34,INR,upi,SBI,2026-01-01T01:00:00,1,3,2,0,92,0.6865,0.6965,mobile_android,NETWORK_ERROR,TEMPORARY_BANK_FAILURE,7,1688.55,0,0,0.2467,0.0567,1,0.7903,RETRY_LATER,66
pay_100007,cust_2056,merch_razorpay_buildathon,36756.24,INR,netbanking,KOTAK,2026-01-01T01:06:00,1,3,3,0,419,0.5951,0.8419,mobile_android,CARD_EXPIRED,PAYMENT_METHOD_FAILURE,10,40132.99,0,0,0.7196,0.0924,1,0.3643,ALTERNATIVE_PAYMENT_METHOD,110
pay_100008,cust_2536,merch_razorpay_buildathon,3039.13,INR,netbanking,SBI,2026-01-01T01:14:00,1,3,1,1,235,0.9458,0.8395,mobile_ios,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,24,3614.7,0,0,0.6774,0.044,0,0.3892,RETRY_LATER,0
pay_100009,cust_1203,merch_razorpay_buildathon,11447.28,INR,netbanking,SBI,2026-01-01T01:17:00,1,3,1,0,367,0.99,0.8114,mobile_android,USER_DROPPED_OFF,CUSTOMER_ABANDONMENT,30,11494.16,0,0,0.307,0.045,1,0.7975,SEND_PAYMENT_LINK,135
pay_100010,cust_3565,merch_razorpay_buildathon,14948.19,INR,card,HDFC,2026-01-01T01:52:00,1,3,2,3,462,0.7089,0.4485,mobile_android,USER_DROPPED_OFF,CUSTOMER_ABANDONMENT,141,17373.84,0,0,0.6187,0.0961,1,0.7272,SEND_PAYMENT_LINK,153
pay_100011,cust_2832,merch_razorpay_buildathon,36195.97,INR,upi,HDFC,2026-01-01T01:57:00,1,3,1,1,96,0.5452,0.9085,mobile_android,BAD_REQUEST_GATEWAY_TIMEOUT,TEMPORARY_BANK_FAILURE,43,39900.44,0,0,0.3083,0.1244,1,0.6297,RETRY_LATER,88
pay_100012,cust_3564,merch_razorpay_buildathon,202.63,INR,upi,SBI,2026-01-01T02:06:00,2,3,1,1,213,0.9007,0.8617,mobile_android,CHECKOUT_TIMEOUT,CUSTOMER_ABANDONMENT,5,227.71,0,0,0.5493,0.0291,1,0.7752,SEND_PAYMENT_LINK,7
pay_100013,cust_1442,merch_razorpay_buildathon,2173.83,INR,netbanking,HDFC,2026-01-01T02:12:00,2,3,1,0,223,0.7479,0.4883,mobile_ios,BANK_SERVER_DOWN,TEMPORARY_BANK_FAILURE,64,2471.44,0,0,0.555,0.0252,1,0.8118,RETRY_LATER,40
pay_100014,cust_1688,merch_razorpay_buildathon,3352.68,INR,card,AXIS,2026-01-01T02:16:00,2,3,1,0,180,0.4351,0.6315,mobile_web,USER_DROPPED_OFF,CUSTOMER_ABANDONMENT,55,3658.46,0,0,0.6734,0.0074,0,0.6588,SEND_PAYMENT_LINK,0
pay_100015,cust_3897,merch_razorpay_buildathon,1192.52,INR,upi,ICICI,2026-01-01T02:18:00,2,3,2,0,71,0.9034,0.5935,mobile_android,BANK_SERVER_DOWN,TEMPORARY_BANK_FAILURE,22,1238.28,0,0,0.4418,0.1122,1,0.8662,RETRY_LATER,64
pay_100016,cust_1832,merch_razorpay_buildathon,1108.76,INR,upi,ICICI,2026-01-01T02:28:00,2,3,1,0,322,0.9394,0.8173,mobile_android,NETWORK_ERROR,TEMPORARY_BANK_FAILURE,41,1310.46,0,0,0.8257,0.0391,1,0.8788,RETRY_LATER,96
pay_100017,cust_3386,merch_razorpay_buildathon,2654.59,INR,netbanking,AXIS,2026-01-01T02:33:00,2,3,1,0,264,0.9045,0.7646,mobile_android,OTP_NOT_ENTERED,CUSTOMER_ABANDONMENT,27,3047.57,0,0,0.5518,0.1092,1,0.7761,SEND_PAYMENT_LINK,72
pay_100018,cust_2461,merch_razorpay_buildathon,3440.3,INR,netbanking,AXIS,2026-01-01T02:35:00,2,3,1,0,107,0.9225,0.5381,mobile_android,CHECKOUT_TIMEOUT,CUSTOMER_ABANDONMENT,240,3825.33,0,0,0.6677,0.0427,1,0.7806,SEND_PAYMENT_LINK,6
pay_100019,cust_2159,merch_razorpay_buildathon,5697.92,INR,netbanking,SBI,2026-01-01T02:39:00,2,3,2,0,99,0.8536,0.7465,mobile_android,BANK_SERVER_DOWN,TEMPORARY_BANK_FAILURE,16,6208.97,0,0,0.4214,0.0996,1,0.8488,RETRY_LATER,235
pay_100020,cust_1386,merch_razorpay_buildathon,35395.76,INR,card,KOTAK,2026-01-01T02:42:00,2,3,1,1,2,0.6516,0.9137,desktop,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,18,38930.6,0,0,0.3396,0.182,1,0.2808,RETRY_LATER,46
pay_100021,cust_3041,merch_razorpay_buildathon,1553.65,INR,upi,NONE,2026-01-01T02:43:00,2,3,3,0,334,0.9439,0.6467,mobile_web,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,41,1809.55,1,0,0.4126,0.08,1,0.3888,RETRY_LATER,28
pay_100022,cust_3553,merch_razorpay_buildathon,2795.72,INR,upi,KOTAK,2026-01-01T02:54:00,2,3,1,0,61,0.5561,0.5857,mobile_android,BAD_REQUEST_GATEWAY_TIMEOUT,TEMPORARY_BANK_FAILURE,71,2802.71,0,0,0.3687,0.0074,1,0.7446,RETRY_LATER,44
pay_100023,cust_2348,merch_razorpay_buildathon,1337.46,INR,upi,AXIS,2026-01-01T02:58:00,2,3,2,2,115,0.9464,0.8798,mobile_ios,NETWORK_ERROR,TEMPORARY_BANK_FAILURE,40,1568.93,0,0,0.7053,0.0428,1,0.8812,RETRY_LATER,469
pay_100024,cust_2718,merch_razorpay_buildathon,1128.44,INR,netbanking,SBI,2026-01-01T03:12:00,3,3,1,0,96,0.7804,0.7207,mobile_web,BANK_SERVER_DOWN,TEMPORARY_BANK_FAILURE,71,1138.99,0,0,0.3365,0.0201,1,0.8231,RETRY_LATER,13
pay_100025,cust_1679,merch_razorpay_buildathon,18872.77,INR,upi,SBI,2026-01-01T03:13:00,3,3,1,0,205,0.5618,0.6933,mobile_android,TRANSACTION_LIMIT_EXCEEDED,INSUFFICIENT_FUNDS,33,21197.57,0,0,0.3466,0.0618,1,0.3124,RETRY_LATER,124
pay_100026,cust_1689,merch_razorpay_buildathon,861.11,INR,card,HDFC,2026-01-01T03:23:00,3,3,2,2,90,0.8132,0.942,desktop,BAD_REQUEST_GATEWAY_TIMEOUT,TEMPORARY_BANK_FAILURE,33,918.48,1,0,0.4848,0.1351,1,0.8346,RETRY_LATER,59
pay_100027,cust_3932,merch_razorpay_buildathon,518.93,INR,upi,HDFC,2026-01-01T03:26:00,3,3,1,0,36,0.6449,0.8092,mobile_android,NETWORK_ERROR,TEMPORARY_BANK_FAILURE,30,589.32,1,0,0.6957,0.0187,0,0.7757,RETRY_LATER,0
pay_100028,cust_2568,merch_razorpay_buildathon,302.43,INR,upi,HDFC,2026-01-01T03:27:00,3,3,2,0,366,0.9116,0.6587,mobile_android,BAD_REQUEST_GATEWAY_TIMEOUT,TEMPORARY_BANK_FAILURE,35,307.6,0,0,0.3606,0.2531,1,0.8691,RETRY_LATER,77
pay_100029,cust_3670,merch_razorpay_buildathon,1611.34,INR,netbanking,HDFC,2026-01-01T03:35:00,3,3,2,0,37,0.9178,0.559,mobile_ios,BANK_SERVER_DOWN,TEMPORARY_BANK_FAILURE,8,1790.6,0,0,0.4646,0.0315,1,0.8712,RETRY_LATER,9
pay_100030,cust_2169,merch_razorpay_buildathon,913.96,INR,upi,ICICI,2026-01-01T03:48:00,3,3,2,1,6,0.8186,0.7421,mobile_ios,UPI_PIN_INVALID,PAYMENT_METHOD_FAILURE,397,1070.29,0,0,0.4446,0.0621,1,0.8456,ALTERNATIVE_PAYMENT_METHOD,197
pay_100031,cust_1892,merch_razorpay_buildathon,32820.43,INR,card,HDFC,2026-01-01T03:49:00,3,3,1,2,40,0.885,0.5739,mobile_ios,NETWORK_ERROR,TEMPORARY_BANK_FAILURE,164,36067.28,0,0,0.8316,0.1733,1,0.7308,RETRY_LATER,102
pay_100032,cust_1952,merch_razorpay_buildathon,577.39,INR,upi,KOTAK,2026-01-01T03:55:00,3,3,1,0,110,0.6596,0.8025,mobile_android,METHOD_NOT_SUPPORTED,PAYMENT_METHOD_FAILURE,76,587.13,0,0,0.6437,0.0237,1,0.7979,ALTERNATIVE_PAYMENT_METHOD,195
pay_100033,cust_2254,merch_razorpay_buildathon,17061.16,INR,upi,AXIS,2026-01-01T04:36:00,4,3,2,0,100,0.7035,0.5799,mobile_ios,NETWORK_ERROR,TEMPORARY_BANK_FAILURE,38,17188.7,1,0,0.4044,0.0373,1,0.7962,RETRY_LATER,114
pay_100034,cust_1783,merch_razorpay_buildathon,24674.04,INR,upi,HDFC,2026-01-01T04:41:00,4,3,1,2,287,0.8575,0.6867,mobile_android,BANK_SERVER_DOWN,TEMPORARY_BANK_FAILURE,33,27739.55,0,0,0.4369,0.0278,1,0.7226,RETRY_LATER,249
pay_100035,cust_3046,merch_razorpay_buildathon,14944.67,INR,upi,HDFC,2026-01-01T04:42:00,4,3,2,0,40,0.8696,0.6087,mobile_android,OTP_NOT_ENTERED,CUSTOMER_ABANDONMENT,100,15152.49,0,0,0.3546,0.3141,1,0.7674,SEND_PAYMENT_LINK,132
pay_100036,cust_2871,merch_razorpay_buildathon,837.7,INR,card,AXIS,2026-01-01T04:47:00,4,3,2,0,269,0.6986,0.6311,mobile_ios,TRANSACTION_LIMIT_EXCEEDED,INSUFFICIENT_FUNDS,48,849.64,1,0,0.5338,0.0798,1,0.3397,RETRY_LATER,186
pay_100037,cust_1494,merch_razorpay_buildathon,3157.78,INR,upi,AXIS,2026-01-01T04:54:00,4,3,2,0,19,0.8167,0.4635,mobile_android,CHECKOUT_TIMEOUT,CUSTOMER_ABANDONMENT,167,3426.47,1,0,0.6562,0.1313,1,0.8542,SEND_PAYMENT_LINK,110
pay_100038,cust_1746,merch_razorpay_buildathon,2239.21,INR,upi,KOTAK,2026-01-01T05:01:00,5,3,2,0,116,0.7289,0.5505,mobile_android,UPI_PIN_INVALID,PAYMENT_METHOD_FAILURE,28,2333.04,0,1,0.2927,0.0294,0,0.0,NO_ACTION,0
pay_100039,cust_3484,merch_razorpay_buildathon,1475.96,INR,upi,NONE,2026-01-01T05:02:00,5,3,3,0,361,0.8273,0.6238,mobile_android,NETWORK_ERROR,TEMPORARY_BANK_FAILURE,46,1536.24,0,0,0.3065,0.025,0,0.4896,RETRY_LATER,0
pay_100040,cust_2854,merch_razorpay_buildathon,3497.69,INR,card,KOTAK,2026-01-01T05:07:00,5,3,1,0,96,0.7902,0.625,mobile_ios,CHECKOUT_TIMEOUT,CUSTOMER_ABANDONMENT,56,3834.15,1,0,0.3922,0.0276,1,0.8476,SEND_PAYMENT_LINK,188
pay_100041,cust_3392,merch_razorpay_buildathon,11435.09,INR,netbanking,ICICI,2026-01-01T05:20:00,5,3,3,1,595,0.8795,0.5498,desktop,UNKNOWN_ERROR,UNKNOWN,83,12077.29,1,0,0.4437,0.0926,0,0.3819,HUMAN_REVIEW,0
